Vessel Name,IMO,Vessel Type,DOC,Fleet,Fleet Manager,Technical Superintendent,Technical Executive,Is there any Dry Dock carried out last month?,DD Entry Date,DD Exit Date,Dry Dock Location,Paint Type (Vertical),Paint Make (vertical),Surface Prep (Vertical Side),Application Method (Vertical),Paint Make (Flat Bottom),Paint Type (Flat Bottom),Surface Prep (Flat Bottom),Application Method (Flat Bottom),Hull Cleaning Carried out in DD,Propellor Polishing Carried out in DD,Is there any Hull Cleaning carried out last month?,Last Month Hull Cleaning Date,Is there any Propeller Polishing carried out last month?,Last Month Propeller Polishing Date,Any ESD installation last month?,Last Month ESD Installation Date,ESD List,Remarks,PDF File
Amis Xcel,9983774,BULK CARRIER,WSSM,,Nandagopal M,Rinu Mon Kurian,,No,,,,,,,,,,,,,,Yes,2025-04-01,No,,No,,,"Hull Cleaning Carried out on 01-April-2025
"
Amis Youth,9979242,BULK CARRIER,WSSM,,Nandagopal M,Vikesh Dost,,No,,,,,,,,,,,,,,Yes,2025-04-12,No,,No,,,Amis Youth - Hull Cleaning carried out 12/April/2025
Paiwan Ace,9984405,BULK CARRIER,WSSM,,Nandagopal M,Mathews  Joseph,,No,,,,,,,,,,,,,,Yes,2025-03-08,No,,No,,,Hull Cleaning carried out 08/Mar/2025
Poavosa Wisdom VIII,9641924,BULK CARRIER,WSSM,,Nandagopal M,Vikesh Dost,,No,,,,,,,,,,,,,,Yes,2025-02-28,No,,No,,,Hull Carried out on 28/Feb/2025
Sakizaya Unicorn,9892676,BULK CARRIER,WSSM,,Nandagopal M,Mathews  Joseph,,No,,,,,,,,,,,,,,Yes,2025-04-13,No,,No,,,Hull Cleaning Carried out 13/Apr/2025
Orchid Madeira,9367401,TANKER,SNPL,C,Mahesh Kulkarni,Santosh Kumar,,No,,,,,,,,,,,,,,Yes,2024-04-01,No,,No,,,
La Digue,9448724,TANKER,SMC,,Niju Kurian,Sanil  Thomas,Varsha Venugopal,No,,,,,,,,,,,,,,Yes,2024-05-24,No,,No,,,
Monax,9311256,TANKER,SNPL,C,Mahesh Kulkarni,Krunal Garud,,No,,,,,,,,,,,,,,Yes,2025-05-24,No,,No,,,
Petite Soeur,9448712,TANKER,SMC,,Niju Kurian,Sanil  Thomas,Varsha Venugopal,No,,,,,,,,,,,,,,Yes,2024-06-01,No,,No,,,
Bow Cheetah,9952141,TANKER,SNPL,A,Manas Ray,Ameya Damodar Joshi,Omkar Sawant,No,,,,,,,,,,,,,,Yes,2024-07-24,No,,No,,,
Fairchem Endurance,9800441,TANKER,SNPL,A,Manas Ray,Adarsh Munshi,Omkar Sawant,No,,,,,,,,,,,,,,Yes,2025-01-29,No,,No,,,Hull Cleaning Carried out 29-Jan-2025
Scarlet Eagle,9687693,BULK CARRIER,SMPL DRY,B,Vinod Mittal,Shashank Bani,,No,,,,,,,,,,,,,,Yes,2024-07-24,No,,No,,,
Amis Kalon,9520807,BULK CARRIER,WSSM,,Nandagopal M,Vikesh Dost,,No,,,,,,,,,,,,,,Yes,2024-08-01,No,,No,,,
Basset,9858060,TANKER,SNPL,C,Mahesh Kulkarni,Santosh Kumar,Shubham More,No,,,,,,,,,,,,,,Yes,2024-11-25,No,,No,,,"Hull cleaning Carried out on 25th Nov 2024
"
Fairchem Conquest,9798648,TANKER,SNPL,C,Mahesh Kulkarni,Shivam Sawant,Shubham More,No,,,,,,,,,,,,,,Yes,2024-08-01,No,,No,,,"
"
Hudson Trader,9937593,BULK CARRIER,CSMI,,Anish Balakrishnan,Nuwan Jayasuriya,Timothy Joshua Peñano,No,,,,,,,,,,,,,,Yes,2024-08-01,No,,No,,,
Uog Lamyra,9489065,TANKER,SNPL,B,Bhooshan Vikram Gupte,Abhilash Jha,,No,,,,,,,,,,,,,,Yes,2024-08-01,No,,No,,,
Amis Wisdom I,9426764,BULK CARRIER,SMPL DRY,L,Sanjay Kumar Jaiswal,Anbuselvan Thangavel,,No,,,,,,,,,,,,,,Yes,2024-10-28,No,,No,,,
Eva Global,9972452,BULK CARRIER,CSMI,,Anish Balakrishnan,Nuwan Jayasuriya,Timothy Joshua Peñano,No,,,,,,,,,,,,,,Yes,2024-10-24,No,,No,,,
Orchid Kefalonia,9363821,TANKER,SNPL,C,Mahesh Kulkarni,Chandan Choudhary,,No,,,,,,,,,,,,,,Yes,2024-10-24,No,,No,,,
Uacc Mansouria,9489089,OIL TANKER,SNPL,B,Bhooshan Vikram Gupte,Umesh E Sasle,,No,,,,,,,,,,,,,,Yes,2024-10-24,No,,No,,,
City Island,9360960,TANKER,SNPL,C,Mahesh Kulkarni,Krunal Garud,,No,,,,,,,,,,,,,,Yes,2024-11-24,No,,No,,,
Cl Huaihua,9953353,BULK CARRIER,SMSL/SMBL/SMCL,C,Umesh Iyengar,Ning Fangcun,Rashme G,No,,,,,,,,,,,,,,Yes,2024-11-24,No,,No,,,
Amis Kalon,9520807,BULK CARRIER,WSSM,,Nandagopal M,Vikesh Dost,,No,,,,,,,,,,,,,,Yes,2025-03-25,No,,No,,,
Amis Wisdom I,9426764,BULK CARRIER,SMPL DRY,L,Sanjay Kumar Jaiswal,Anbuselvan Thangavel,,No,,,,,,,,,,,,,,Yes,2024-12-01,No,,No,,,
Amis Wisdom Ii,9426776,BULK CARRIER,SMPL DRY,B,Vinod Mittal,Shankar Ragunathan,,No,,,,,,,,,,,,,,Yes,2025-01-01,No,,No,,,
Amis Youth,9979242,BULK CARRIER,WSSM,,Nandagopal M,Vikesh Dost,,No,,,,,,,,,,,,,,Yes,2024-12-01,No,,No,,,
Global Faith,9554169,BULK CARRIER,WSSM,,Nandagopal M,Vikesh Dost,,No,,,,,,,,,,,,,,Yes,2024-12-01,No,,No,,,
La Digue,9448724,TANKER,SMC,,Niju Kurian,Sanil  Thomas,Varsha Venugopal,No,,,,,,,,,,,,,,Yes,2024-12-01,No,,No,,,
Mega Benefit,9796573,BULK CARRIER,WSSM,,Nandagopal M,Mathews  Joseph,,No,,,,,,,,,,,,,,Yes,2024-12-01,No,,No,,,
Orchid Kefalonia,9363821,TANKER,SNPL,C,Mahesh Kulkarni,Chandan Choudhary,,No,,,,,,,,,,,,,,Yes,2024-12-01,No,,No,,,
Sakizaya Justice,9749893,BULK CARRIER,WSSM,,Nandagopal M,Mathews  Joseph,,No,,,,,,,,,,,,,,Yes,2024-12-01,No,,No,,,
Amis Fortune,9724178,BULK CARRIER,SMPL DRY,L,Sanjay Kumar Jaiswal,Anantharamakrishnan P N,,No,,,,,,,,,,,,,,Yes,2024-12-29,No,,No,,,
Amis Wisdom III,9573866,BULK CARRIER,SMPL DRY,L,Sanjay Kumar Jaiswal,Anantharamakrishnan P N,,No,,,,,,,,,,,,,,Yes,2025-02-08,No,,No,,,"UW Inspection, Propeller Polishing & Hull Cleaning in Balboa, Panama on 08th February 2025"
CL Yangzhou,9703265,BULK CARRIER,SMSL/SMBL/SMCL,C,Umesh Iyengar,Sanjeev Kumar Sibal,Rashme G,No,,,,,,,,,,,,,,No,,Yes,2025-04-06,No,,,"Propeller Cleaning carried out - 6th April 2025
"
